,text,sentiment
10,That is 232 families that are suffering today,Negative
11,Yes we have made grea RT Coronavirus cases rise across the U S as they slowly fade in New York,Positive
12,COVID19,Neutral
13,HIDDEN DATA What is the median age of Coronavirus death 80 years old or 82 years old veenaD Scindia Perhaps Scindia ji hasn t read this article of Journalist Swati Chaturve RT Hint it starts with a C and ends with apitalism,Negative
14,aka this is what happens when Wall Street captures Congress and writes themsel RT FACT,Neutral
15,There are currently no drugs licensed for the treatment or prevention of COVID 19,Negative
16,coronavirus,Neutral
17,KnowTheFacts http Girls gotta doRT Watch out for our webinar for Australia India Business in a Post Coronavirus World with a sensational panel on Tuesday 12 RT Here come the blue checkmarks Here is NY Times NEW New York reports its lowest number of new coronavirus cases since March 18 RT fox9 Nails it,Negative
18,Stop paying China,Negative
19,They knew and deliberately infected the world,Negative
20,coronavirus,Neutral
21,Several questions about this unfortunate incident Apparent murder suicide is enough info for me but conspiracy theorists w RT BREAKING 155 Persons Die In Yobe State Within Six Days Over Suspected Coronavirus Symptoms State Governor Coordinate RT The right wing press is holding a scientist to account for his sex life more than it s holding the government to account f RT Haha that was fast Last month NYC Democrats said Coronavirus was nothing to worry about Watch JessSayin Yet nobody else is interesting so Wendy s wasn t lying about the freshness of their burgers RT Update following the latest official figures from the four UK nations a cautious estimate of the excess deaths linked to RT The Brexit boys are back in town and this time their suicide mission is ending the lockdown Matthew Norman Fuck the coronavirus let s have fun and ExposeVeritas the dipshits that got caught trying to expose WAPO with a fake Roy Moore accuser KA 17 OMG WHAT A JOKE,Negative
22,CoVid 19 the biggest HOAX ever,Negative
23,Coronavirus Tanzania testing kits questioned after goat a RT Dear My Fellow Tweeps can we make Madagascar trend till people in power see that we mean business coronavirus God Bless The White House Coronavirus Task Force is set to be shuttered by Memorial Day,Positive
24,Hm whistleblower says Trump admin was corruptly pushing POTUS personal political agenda against US national interest Wher RT I still can t believe that there have been over 300 000 cases of coronavirus and almost 20 000 deaths in New York and RT The true marketplace of ideas is two long features being simultaneously published about the Jared Kushner shadow coronavirus t 4 Walmarts in Massachusetts have now closed because of coronavirus cases among employees NEW POLL is great news for edge evaporates as seen as better suited for economy co RT I don t care what anybody says,Positive
25,It s not a coincidence the coronavirus came after Trump made that Trade Deal with China RT Caslen Gamecocks your health amp safety continues to be our No 1 priority as we plan for your return in August I know that you ar RT Impeached president Donald Trump has decided to take his own hostage in the next coronavirus stimulus bill Social Secu Virus Whistle Blower Says Trump Administration Steered Contracts to Cronies says Desi Aunties and uncles what s app group Coronavirus ka ilaaj Mil gya,Positive
26,Le Coronavirus JessSayin Yet nobody else is interesting so Wendy s wasn t lying about the freshness of their burgers Scotgov responsible for health in Scotland since 1999 Signed up for four nations approach WHO says it s in talks to send mission to China to investigate source of coronavirus Paulo Dybala confirms he s free from the coronavirus The Navajo Nation is a Nation within a Nation We appreciate President Trump for supplying our Tribal Reservation with RT Meanwhile in Nigeria an Isolation center has been set up for sick patients diagnosed with COVID 19 Notice that t Brazil using coronavirus to cover up assaults on Amazon warn activists Another Dictator in charge students in spring break group have coronavirus some flew on commercial jets,Negative
27,of Corruption by Dr Judy Mikovits Kent Heckenlively interview It s time for cleaning up the mess More from emeritus microbiology professor Sucharit Bhakdi The current crisis was brought about by politician How the Coronavirus Crisis Is Inspiring Country s Creators Like Luke Combs Brent Cobb amp Chris Janson Pettigrew MP LR Even more troubling the organization meant to implement these rules the blindly followed the Another 649 die with coronavirus taking UK total to 30 076 speed Trump ready to use DPA to produce 100 million doses of coronavirus vaccine than 1 700 additional COVID 19 deaths revealed in New York nursing homes See where d laughlin New world leader approval ratings change since last wk,Negative
28,Modi 82 0,Neutral
29,Morrison 65 1,Neutral
30,Johnson RT This ICU nurse on the coronavirus frontlines says he didn t sign up to die RBI Fake EMIs for the next three months,Negative
31,Fake RBI,Negative
32,EMIs send SMS to me that Effective Jun 02 2020 Penal I OFFICIAL Paulo Dybala is cured of Coronavirus WATCH State officials provide update on coronavirus outbreak in NewJersey This guy persuaded Boris that lockdown was the only way breaks lockdown rules for sexy romps with married lover good RT UK coronavirus death toll continues to surge horrendously to 2nd worst in the world as our testing numbers fall back to What is the point of having a Corona virus taskforce when nobody is following their recommendations and POTUS is u In Gallup s latest tracking poll Trump s job approval is back to 49 matching the highest it s ever been Democrats ca RT Sysco suggests many coronavirus related business closures won t be temporary Hey it s Rick Savage and the faux rage gang,Positive
33,resist VoteBlue2020 mepolitics coronavirus post 2020 voters want more coronavirus direct payments CNBC Change Research poll has been published on Price Coronavirus pandemic or not massive migrants transfers are taking place almost every day in Greece now,Positive
34,Here we have hun Yess James awsome RT There is NOT a SINGLE piece of evidence that shows MASKS will prevent you from catching the Coronavirus COVID 19 is N RT RSS details Covid seva 67k places 3 42 lakh workers 50 5 lakh ration kits 3 2 cr meals Desperate Brazilian patriot films what s going on in the infamous SaoPaulo Cracolandia crack slum during the coronavir RT Researchers Say Coronavirus May Have Mutated in Europe to Become More Contagious CoronavirusRoundup nursing home shut down after deadly coronavirus outbreak residents moved,Negative
35,Bushiri didn t see Coronavirus coming The Duke and Duchess of Sussex have released a new video of their son Archie to mark his first birthday,Neutral
36,It was released on t Trump warned Americans he would run USA like a Business That s Florida removed data from the state Department of Health website that showed 171 patients had coronavirus symptoms or pos Tron Foundation declines to comment on coronavirus relief funding report CARESAct hypatia Texas Governor Abbott caught on recording saying reopening will escalate coronavirus spread on same day state businesses op RT The Coronavirus pandemic has turned Minnesota s forecasted 1 5 billion surplus to a deficit of 2 42 billion We should c RT Today the Senate will confirm a Director for the National Counterintelligence and Security Center Our domestic fight wit RT Coronavirus proofreading enzyme stimulates RNA recombination and debunking the conclusion that a change in the viral spike gl RT My mother just passed away from the coronavirus I lost my father to the same on Saturday My brother is sick now too Can I RT Blood On Their Hands World Renowned Doctors Release Studies Supporting Hydroxychloroquine Treatment for Coronavirus as RT greer this is my shocked face to everyone who joined our webinar on how the coronavirus is impacting the B2BMarketing sector just now NY Gov Cuomo cautions that as new information comes in the coronavirus death toll could be revised and the reality could be RT Right now the number of active cases is large enough to pose a substantial and catastrophic threat to public safety and RT And Brix and Fauci new,Negative
37,Coronavirus Could a llama hold the key to treating COVID 19 The UK now has the highest number of deaths from Coronavirus in Europe and the 2nd highest in the world,Positive
38,This is such an un What exactly does the CARES Act entail This article does a nice job of laying out what the act means for individua I ve done this If you re in the north west why don t you LockdownLifeRT Once again Pelosi shows she s rotten to the core Caught trying to slip in funding your tax dollars for abortions RT My mother just passed away from the coronavirus I lost my father to the same on Saturday My brother is sick now too Can I RT In Pakistan mosques have not been closed because if they are,Negative
39,There is a real fear across the board that religi RT Sending my deepest thoughts and prayers,Negative
40,Kushner s Volunteer Force Led a Fumbling Hunt for Medical Supplies The New York Times The burdens and sacrifices in the age of COVID echo unevenly in ways that deserve much more attention,Negative
41,tries to blame impeachment and Russia for the shortage of medical supplies under his watch France will discard 10 million litres of beer four Olympic sized swimming pools full due to expire undrunk with consumers Kelly Loeffler clearly profited in her position as a Senator She profited while America s citizens suffered I offer you nya Dabi to cure coronavirus woes,Negative
42,dabihawks hawks dabi bnha The world has started to ease down the lockdown restrictions We should know that without precautions Coronavirus may halt life RT There has been a curious mixture of superiority and fatalism about Britain s handling of the pandemic which has been Coronavirus More than 1 2 million people have recovered globally Coronavirus Here come the blue checkmarks us Big Oil has been lobbying to use our tax dollars to pay the debt they acquired long before coronavirus and Trump s administr RT KissMyBot I don t believe the Coronavirus death toll numbers Do you If you don t believe the Death toll numbers you aren t alo RT Tax dodging billionaires companies behaving badly They want UK taxpayers to bail them out They behave badly because our c RT Here come the blue checkmarks My mother just passed away from the coronavirus I lost my father to the same on Saturday My brother is sick now too Can I Rohingya refugees Cox s Bazar and the coronavirus,Negative
43,My colleague Rachel Wolff speaks how Coronavirus is exacerbatin Mr Mayor can you please help get s story out,Positive
44,Her video has already been pulled from YouTube RT LIVE Justice Administration holds press briefing on COVID 19 response May 6 2020 For more information about COVID19 Coronavirus researcher on verge of significant findings found shot to death officials say is NurseAppreciationDay We are always grateful to Ohio s nurses but especially now as they are morons have been around for over 100 years RT There needs to be a lot more discussion about the fact that Andrew Cuomo sent coronavirus patients into nursing homes al RT If we had a Democrat with balls when we take over they d cut off funding to red states amp make them beg for their handout A Judge EricMoye is unfit to preside over any court This is morally wrong No one is being forced to go to Shelley JessSayin Yet nobody else is interesting so Wendy s wasn t lying about the freshness of their burgers RT Florida removed data from the state Department of Health website that showed 171 patients had coronavirus symptoms or pos Pompeo says the US can t be certain coronavirus outbreak originated in China lab,Negative
45,JessSayin Yet nobody else is interesting so Wendy s wasn t lying about the freshness of their burgers RT Tommy Robinson confronts police camera van snidey parked to fine essential workers and carers,Negative
46,While we re told to sta First case of Covid19 in France was on Dec 27th It was also confirmed that CES attendees had it in early Januar Dear,Positive
47,Arizonans have a right to access info on COVID19 from models to opendata about cases fatalities amp respo RT Convicted pedophiles are being released from jail because of coronavirus,Negative
48,Meanwhile a hair salon owner is being thro Australian company behind MagnoliaLNG appoints administrators may be insolvent USLNG LNGLY LNG ONGT A Spanish nurse returned to her job at a hospital near Madrid after spending four weeks recovering from the coronavirus hersel RT Despite newspaper assertions I doubt there ll be public appetite for a Coronavirus inquiry after this Off Twitter I RT Very sorry for your loss On the bright side though Norwich and Burnley are playing a 78 minute game in an empty Emirat Before a 42 year old mother of six died of coronavirus her children used a walkie talkie to say goodbye,Negative
49,flu pandemic boosted support for the Nazis Fed study claims economy adolfhitler boosted businessnews I wrote about the Trump administration s efforts to suppress information about the coronavirus pandemic The article and thr RT rasmussen This type of reporting on SARSCoV2 COVID19 coronavirus makes my blood boil There is no evidence that the dominant RT Distributed Face Shield Mask to Our frontline volunteers who are fighting the Coronavirus pandemic to help the affecte RT And many of Americans especially small business owners and hard working people full of patriotism are simply immune RT Last month revealed that Palantir the US big data firm founded by the rightwing billionaire Peter Thiel is RT A new study from Wuhan finds the coronavirus can linger in the air in crowded spaces as scientists struggle to determine exa C mon Washington we re better than this RT The failed amp myopic response of to COVID 19 allowed the virus to enter the US from Europe The virus had app RT In person instruction at UofSC Columbia will resume mid August This is a decision that has not been made lightly and will requi Researcher on verge of making very significant coronavirus findings shot to death Absol Always happy to join the President Trump says the White House coronavirus task force won t wind down in the near future though members could be re,Positive
50,She s from Norway Thought you d welcome Norwegians,Positive
51,Texas salon owner fined sentenced to jail for violating coronavirus lockdown measures OANN JessSayin Yet nobody else is interesting so Wendy s wasn t lying about the freshness of their burgers RT Hydroxychloroquine proves to be powerful drug in fight against coronavirus via OA Persconferentie over Versoepeling Coronamaatregelen,Negative
52,CoronaVirus Corona CoronaCrisis VirusCorona CoronaNL like something to look into Could this explain NYC s exceptionally high infection and death rates We are at the point where any one of us can easily put the fear of death into another,Negative
53,Worse are slo Monoclonal antibodies could potentially be used both for treatment and prevention of COVID happy to work with deve RT Well that s embarrassing After 5 weeks I have just spotted I had misspelled coronavirus in my work email signature RT The only thing this government is good at testing is my patience RT Finally a solution RT Instead of another photo op why doesn t President Trump roll up his sleeves and get something done on testing,Positive
54,UPDATE New mutation in coronavirus genome has been detected that mirrors a mutation in 2003 SARS outbreak which weake RT watched this interview Please watch and share to spread the TRUTH,Positive
55,CoronaVirus COVID19Dont understand these comments Does a professional reporter have to be pro Govt Is pointing out questionable germ zapping robot Thanks to our philanthropic partners and donors Sutter Tracy Community Hospital has this BREAKING 155 Persons Die In Yobe State Within Six Days Over Suspected Coronavirus Symptoms State Governor Coordinate NO He is already trying to do it i don t know what to say about the suicide looks murdered doctor onto something niagara falls gateway,Negative
56,but i watch New vaccine can target multiple coronavirus strains,Negative
57,Coronavirus COVID 19 COVID19 Coronaviru Love this Silk Marvel CindyMoon COVID19 wearyourmask koreanamerican asianamerican Jared is into the data Nothing is more insidious amp dangerous It s a huge story Please stay on it,Positive
58,Get to a whistleb RT Pompeo wouldn t make that statement without proof,Neutral
59,If China keeps pushing this they re going to regret it RT Fact Check Dog Vaccine Not Related To COVID 19 Misleading Post Getting Viral Coronavirus Coron RT Intelligence agencies in the UK and the US have jointly warned that rival states are conducting malicious cyber campai Israel numbers have come down nicely new cases from 600 peak to 100 and new deaths from 10 peak t Faculty s proposed simulation of a policy described as targeted herd immunity was part of an NHSX amp Faculty planning docu WHO says there can be no going back to business as usual after coronavirus pandemic It sucks to have any kind of life event or milestone during Coronavirus Quarantine But this little lady right here is so RT JessSayin Yet nobody else is interesting so Wendy s wasn t lying about the freshness of their burgers Here come the blue checkmarks We lost 232 New Yorkers yesterday to Coronavirus,Negative
60,That is 232 families that are suffering today,Negative
61,Yes we have made grea Nearly 1 300 Inmates More Than 400 Employees Test Positive for COVID 19 in Texas Prisons TDCJ Please RETWEET if you want media to stop carrying Trump s coronavirus pressers live RT The White House CoronaVirus Task Force headed by Vice President Mike Pence has done a fantastic job of bringing toge RT Coronavirus India Update Nationwide tally crosses 50 000 with record jump in Maharashtra,Positive
62,Also Maharashtra reported a rec RT Boynton Beach CORONAVIRUS INFECTIONS RISE AT BOCA DELRAY BOYNTON NURSING HOMES National Nurses Day and Thank You nurses doctors essential workers and first responders for doing the most NEW,Positive
63,A pushy Pennsylvania dentist A former Apprentice star A bogus deal for New York ventilators And a dozen young Hospitals haven t felt the true force of COVID 19 as it was deliberately pushed into care homes Conveniently the G China has strategically used the coronavirus as a Trojan horse to advance its agenda of economic and cultural domination an RT Trump is bringing death to Red America The Last Jedi to remind myself that maybe we did deserve the coronavirus RT Bernie Sanders has raised 6 million for corona relief charities,Positive
64,SIX MILLION DOLLARS Coronavirus How long does it take to recover BBC News via 36 The fourth extension of Spain s Coronavirus state of alarm has been approved in parliament 178 votes in favor 75 RT The IRS has delivered more than 207 billion in coronavirus relief payments to individual taxpayers But some of those pay Even during a global pandemic even if you voluntarily put your life on the line to help others the government wil Thank you to for telling it like it is with the Coronavirus Testing which was NOT i right here lockdownextension COVID19 coronavirus OPENAMERICANOW It will be coded as coronavirusRT Due to COVID19 aka Coronavirus Ill be sending the first 700 people to like amp retweet this 300 1500 through CashApp A U of Pittsburgh professor on the verge of making very significant findings researching COVID 19 according to t Coronavirus much deadlier indoors,Positive
65,Seems the Stay Home Save Lives messaging was absolute unscientific bollocks Hong Kong to Reopen Bars Gyms Theaters as Coronavirus Cases Dwindle Breitbart comment South Ossetia confirms first three cases of coronavirus More than a month has passed since there was a day with fewer than 1 000 deaths from the virus,Positive
66,I agree there s no appetite for a public enquiry we should go straight to the corporate manslaughter trials RT HERE S A STAT WORTH SHARING,Positive
67,Global COVID19 coronavirus total recoveries have passed 1 200 000,Neutral
68,That s nearly 5x RT Did you sacrifice elderly people in care homes so you could ensure that the NHS was not overrun,Positive
69,A viewer asks the Heal RT This is a shockingly bad idea Minister of Defence Production Zobaida Jalal called on Minister of Foreign Affairs Shah Mahmood Qureshi in Islamabad 06 05 2 RT Coronavirus 500 000 surgical masks donated to Canada from Taiwan cdnpoliRT Coronavirus UK,Negative
70,Don t lift lockdown now,Neutral
71,Mandate face masks,Neutral
72,Don t open schools as kids spread infection,Neutral
73,Stop CV19 deaths a RT ICYMI Trump s response to ABC asking him why he wasn t more prepared for the coronavirus was Well I ll be honest uh I ha COVID 19 has resulted in an increase in feelings of isolation and loneliness Briana Duffy regional president for,Positive
74,coldwar served really coldthis,Neutral
75,Today the Senate will confirm a Director for the National Counterintelligence and Security Center Our domestic fight wit RT Did you know,Negative
76,The 25 universities with the largest endowments were allocated 801 3 million in Coronavirus relief fundi Experts say U K risks repeating tragic mistakes in coronavirus response via Today President brought rapid result Abbott Coronavirus tests to the Navajo Nation 1 What is starting to become clear is that Trump turned the CoronaVirus efforts at into a bribery corruption s RT Why are world renown experts in denial about hydrodroxychloroquin could it be that it s cheap and plentiful when ther RT We re delighted to have the support of former Strictly Come Dancing Head Judge Len Goodman Len is supporting Team KS RT Joint Chiefs of Staff chairman says evidence suggests coronavirus was not manmade or released from lab Some good news COVID19 coronavirus total recoveries by country,Positive
77,USA 190 000,Neutral
78,Germany 137 400,Neutral
79,Spain 12 RT Yesterday we emailed all Scottish charities to ask for their help with completing a short survey The survey will ask q RT What Kenya is dealing with right now,Positive
80,Highest single day spike of Coronavirus cases,Neutral
81,Flooding that has led to 100 000 homel RT Salon owners should not lose their business because a governor has decided to close their doors and keep them closed 7 days RT What are the odds Looks like a DS Cabal clean up,Positive
82,Medical Researcher on Verge of Making Very Significan RT A Ain t no Corona shmorona gonna stop from helping Jews realize their dream of making Aliyah Israel How a decade of hysterical scare mongering by British scientists and alarmist journalists has turned a once rational nation RT These stories are heartbreaking and remind us that the numbers we see in the news are more than just statistics Every death As COVID 19 cases and death tolls keep climbing physical distancing remains the country s best defense against the State health department tells university COVID 19 modeling team to stop work limits data access Now that Kushner is in charge of finding a Coronavirus vaccine if you think any other vaccine in development that won t be RT During a private call Texas GOP Gov Greg Abbott admitted every scientific and medical report shows state reopenings RT Reported US coronavirus deaths,Negative
83,Mar 5 12 deaths,Neutral
84,Apr 5 9 643 deaths,Neutral
85,May 5 71 043 deaths,Neutral
86,Reported US coronavirus cases RT THIS WILL NOT BE TOLERATED,Neutral
87,It is wrong to alter cause of death or medical data of our deceased brothers and sisters in arms RT ET when did Fauci start talking about the Remidisvir drug Because according to this article on the Gilead site they star RT nyu What we re seeing now is Trump vaulting back to the position he held throughout the early weeks of this crisis That he RT My mother just passed away from the coronavirus I lost my father to the same on Saturday My brother is sick now too Can I RT UK coronavirus death toll continues to surge horrendously to 2nd worst in the world as our testing numbers fall back to RT Florida removed data from the state Department of Health website that showed 171 patients had coronavirus symptoms or pos uspoli covid19 donnyt Stock News by uspolitics Coronavirus magaRT Patient diagnosed with pneumonia in France in December 2019 actually had coronavirus his doctor says Fact Trump and Washington Republicans want to sabotage the protections of 135 million people living with pre existing cond RT Coronavirus This could be important the Christians look at coronavirus from a prophecy we know its time to repent and be Holy Luke21 28 WorldwideBibleStudyRT The UK becomes first country in Europe to pass 30 000 coronavirus deaths according to government figures,Negative
88,This is messed up Project Veritas catches coronavirus testing site in Michigan being staged for CBS This Morning stor RT Study shows mutant coronavirus has emerged even more contagious than the original When we are reopening schools let s open a better school and let s open a smarter education system,Positive
89,Gov Cuomo said RT Health workers that volunteered to come to NY during pandemic have to pay state income tax Cuomo should it be RT Ethics watchdog American Oversight has sued the Trump admin for failing to release emails sent by two dozen top officials RT NEW POLL is great news for edge evaporates as seen as better suited for economy co RT Wait wut Why Boris Johnson s promise of 200 000 coronavirus daily tests watered down by No 10 America s governor TM RT Relations between the U S and China strained for years have deteriorated at a rapid clip in recent months The coronavirus has RT Here come the blue checkmarks Texas salon owner fined sentenced to jail for violating coronavirus lockdown measures OANN JessSayin Yet nobody else is interesting so Wendy s wasn t lying about the freshness of their burgers RT Definitely governors are coordinating their policy attacks in citizens This isn t 10 rogue governors accidentally put RT These stories are heartbreaking and remind us that the numbers we see in the news are more than just statistics Every death RT Truther RT Texas sees thousands of new coronavirus cases days after state s stay at home order lifted have confirmed that Paulo Dybala has recovered from coronavirus after his latest test came back with negat Manager Diego Simeone was among those present as Atletico Madrid s players reported to the club s training facilities to RT Chinese government report warns of armed confrontation with U S over coronavirus outbreak,Negative
90,Convicted pedophiles are being released from jail because of coronavirus,Neutral
91,Meanwhile a hair salon owner is being thro RT Why was a Panamanian former model who was Ivanka Trump s taxpayer funded personal assistant put in charge of FEMA s PPE prog RT Latest In Middle East UAE low cost airline Air Arabia has cut jobs reducing its workforce due the coronavirus pandemic RT Over 70 000 Americans have died Tens of thousands more will die So now is perfect time to disband the Coronavirus Task For RT Hand washing still plays a key role in protecting yourself and others from coronavirus,Negative
92,Wash your hands more often,Neutral
93,RT cobb Ping,Neutral
94,fox9 And there it is,Neutral
95,The new normal with gates of hell,Negative
96,Planned all along,Neutral
97,NewNormal,Neutral
98,Is going to school in RT Gauthey GRDF remains committed to fight energy poverty more than ever in the current crisis,Negative
99,COVID 19 coronavirus EnergyPove RT runs I m not saying it is inaccurate Scientifically it is correct In common language this is a news The media heaped praise on Matt Hancock for passing his 100k testing target just a few days ago despite the fact t sujatha This was a rare opportunity given to us workers to voice our side Very rare indeed,Positive
100,Fauci said he s willing to bet anything that people who recover from the new coronavirus are really protected from reinfec RT My mother just passed away from the coronavirus I lost my father to the same on Saturday My brother is sick now too Can I Check out this new BATTLE APPAREL fleece blanket that I uploaded to ODX lovely article Here are some of Google and Apple s new rules for their coronavirus tracing technology,Negative
101,No location tracking,Negative
102,Only go RT Coronavirus researcher killed in suspected murder suicide while on the verge of a significant breakthrough,Negative
103,That s no RT asmussen BAD REPORTER Coronavirus Task Force To Close,Negative
104,at,Neutral
105,AnthonyFauci,Neutral
106,PizzaRat,Neutral
107,PizzaGroundhog,Neutral
108,Coron RT This crisis makes clear how much America depends on immigrants They are the essential workers who pick amp produce our food RT Did you know,Negative
109,The 25 universities with the largest endowments were allocated 801 3 million in Coronavirus relief fundi RT SEE IT At least 20 bodies removed from Harlem nursing home during coronavirus pandemic though state data only shows f RT The UK becomes first country in Europe to pass 30 000 coronavirus deaths according to government figures,Positive
110,Two months ago we were a company facing vertical growth and hiring more people Then coronavirus came It hit us so hard t RT More people have died in Bristol s care homes than in its hospitals,Neutral
111,CoronavirusInIndia PM NarendraModi To Address Event In Honour Of Frontline Warriors On Thursday,Positive
112,LIVE UPDATES Boris Johnson at PMQs It s not possible to compare international coronavirus cases,Neutral
113,Prof Yvonne Doyle at daily briefing RT We will have hearings,Neutral
114,Speaker Pelosi reacts to the whistleblower complaint by ousted HHS official Dr Rick Bright Bright sa States are taking care of this The hospitals in my state are testing everyone now I m about done with these polit A rise in coronavirus cases in a county in Washington state is being linked to so called coronavirus parties health officia Let s assume this is true what are the implications,Positive
115,New discoveries shift coronavirus timeline by months rolled over for China He put his failed trade deal before Americans health RT Hint it starts with a C and ends with apitalism,Negative
116,aka this is what happens when Wall Street captures Congress and writes themsel RT Very sorry for your loss On the bright side though Norwich and Burnley are playing a 78 minute game in an empty Emirat RT this reminds me of the Seinfeld where Kramer is at 1st amp 1st could a conversation between David Crowe amp Dr Andrew K RT Mr Mayor can you please help get s story out,Positive
117,Her video has already been pulled from YouTube eastern washington never heard of itA better world can emerge after coronavirus Or a much worse one Nurses in Kentucky and across America are rushing toward the sick washing their hands until they bleed and working aro RT Why Do Democrat States Have the Highest Number of Coronavirus Deaths Why Does NYC Have Thousands of Deaths to Seoul South AWESOME,Positive
118,Athens commissioner calls for release of inmates during coronavirus pandemic lockdown Delhi announces summer vacation in state run schools from May 11 to June 30 CoronavirusRT The White House CoronaVirus Task Force headed by Vice President Mike Pence has done a fantastic job of bringing toge We are in the mists of the COVID19 pandemic but this does not mean we should forget about the ClimateCrisis,Neutral
119,We Beto said,Neutral
